N,N_over_sample_expression,T,checker_absolute_difference,condition_number,d,error_over_sigma2_dk_over_NT,eta1,eta2,exact_rip_delta,factor,factor_value,final_parameter_error,final_relative_squared_error,first_hit_iteration,independent_final_error,initial_parameter_error,initial_relative_squared_error,k,permuted_task_control,route,sample_expression_without_hidden_constant,seed,sigma,sigma2_dk_over_NT,sigma_1_M_star,sigma_k_M_star,truth_factor_balance_residual
800,18.382352941176457,16,4.336808689942018e-19,1.0000000000000004,256,0.9984446365358898,0.04999999999999999,0.19999999999999996,0.0,d,256,0.003195022836914848,0.012780091347659398,140,0.0031950228369148474,0.24999947766388625,0.9999979106555457,4,False,rate,43.52000000000003,8306,0.2,0.0032000000000000006,1.0000000000000002,0.9999999999999998,7.099834788047993e-16
800,9.469696969696965,16,1.734723475976807e-18,1.0000000000000007,512,1.1282032607654622,0.04999999999999998,0.19999999999999993,0.0,d,512,0.007220500868898959,0.028882003475595823,134,0.0072205008688989575,0.2499996571090509,0.999998628436203,4,False,rate,84.48000000000003,8301,0.2,0.006400000000000001,1.0000000000000004,0.9999999999999999,1.3148174720347448e-15
800,9.46969696969696,16,0.0,1.0000000000000004,512,0.9993467460695405,0.05,0.2,0.0,d,512,0.006395819174845061,0.02558327669938024,140,0.006395819174845061,0.2500010012211674,1.0000040048846697,4,False,rate,84.48000000000009,8302,0.2,0.006400000000000001,1.0,0.9999999999999996,1.5680990957105855e-15
800,9.469696969696967,16,8.673617379884035e-19,1.0000000000000004,512,1.059418923224153,0.04999999999999998,0.19999999999999993,0.0,d,512,0.0067802811086345805,0.027121124434538325,155,0.00678028110863458,0.2499994052204349,0.9999976208817398,4,False,rate,84.48000000000002,8303,0.2,0.006400000000000001,1.0000000000000004,1.0,4.583957856030948e-16
800,9.469696969696962,16,8.673617379884035e-19,1.0,512,1.0232031519541747,0.05000000000000002,0.20000000000000007,0.0,d,512,0.0065485001725067195,0.026194000690026868,147,0.00654850017250672,0.2500005701218679,1.0000022804874706,4,False,rate,84.48000000000008,8304,0.2,0.006400000000000001,0.9999999999999997,0.9999999999999997,8.504286314716132e-16
800,9.469696969696964,16,1.734723475976807e-18,1.0000000000000004,512,1.0166740934602834,0.04999999999999999,0.19999999999999996,0.0,d,512,0.006506714198145815,0.02602685679258327,147,0.006506714198145813,0.24999838484670678,0.999993539386827,4,False,rate,84.48000000000006,8305,0.2,0.006400000000000001,1.0000000000000002,0.9999999999999998,8.886690925236002e-16
800,9.469696969696964,16,0.0,1.0000000000000007,512,0.9913987145574111,0.04999999999999998,0.19999999999999993,0.0,d,512,0.006344951773167433,0.025379807092669737,178,0.006344951773167433,0.25000004867008535,1.0000001946803414,4,False,rate,84.48000000000006,8306,0.2,0.006400000000000001,1.0000000000000004,0.9999999999999998,8.490949317995727e-16
800,4.807692307692303,16,3.469446951953614e-18,1.0000000000000007,1024,1.0822096585910588,0.04999999999999999,0.19999999999999996,0.0,d,1024,0.013852283629965555,0.05540913451986223,162,0.013852283629965559,0.24999995573752234,0.9999998229500898,4,False,rate,166.40000000000015,8301,0.2,0.012800000000000002,1.0000000000000002,0.9999999999999997,1.1596056682767394e-15
800,4.807692307692303,16,5.204170427930421e-18,1.0000000000000002,1024,0.9909563791610472,0.05000000000000001,0.20000000000000004,0.0,d,1024,0.012684241653261406,0.05073696661304561,254,0.0126842416532614,0.25000034630044715,1.0000013852017884,4,False,rate,166.40000000000015,8302,0.2,0.012800000000000002,0.9999999999999999,0.9999999999999997,7.502981588126363e-16
800,4.807692307692303,16,0.0,1.0000000000000007,1024,0.9937336929754634,0.04999999999999999,0.19999999999999996,0.0,d,1024,0.012719791270085934,0.05087916508034373,150,0.012719791270085934,0.24999977394627965,0.9999990957851189,4,False,rate,166.40000000000015,8303,0.2,0.012800000000000002,1.0000000000000002,0.9999999999999997,3.550447214636997e-16
